ID,cond,granul,veg,mo
BEAR_Up_03_Su,416,0,4.3,7.01
BEAR_Up_04_Sp,415,0.38,0,7.01
BEAR_Up_05_Su,198,0.62,3.3,0.16
BEAR_Up_06_Sp,570,0.43,4.7,0.16
BEAR_Up_07_Sp,381,0.54,5,4.81
BEAR_Up_07_Su,532,0.49,4.3,4.81
BEAR_Up_09_Sp,478,0,5,3.4
BEAR_Up_09_Su,262,0.2,5,3.4
BEAR_Up_11_Sp,548,0.17,1.3,6.1
BEAR_Up_11_Su,326,0.52,4.3,6.1
BEAR_Up_12_Sp,431,0.11,3,8.71
BEAR_Up_12_Su,341,0.11,5,8.71
BEAR_Up_13_Sp,562,0,0.7,9.2
BEAR_Up_13_Su,276,0.35,4,9.2
BEAR_Up_15_Sp,409,0.34,4.3,5.61
BEAR_Up_15_Su,328,0,4.7,5.61
BEAR_Up_16_Sp,493,0,4.3,7.15
BEAR_Up_16_Su,595,0,4.3,7.15
BEAR_DoN_05_Su,447,0.6,2,1.5
BEAR_DoN_06_Sp,540,0.39,0.8,1.5
BEAR_DoN_07_Sp,566,0,2.3,4.13
BEAR_DoN_07_Su,556,0.11,3.3,4.13
BEAR_DoN_09_Sp,597,0,4,2.26
BEAR_DoN_09_Su,565,0.17,5,2.26
BEAR_DoN_11_Sp,524,0.17,1.3,5.7
BEAR_DoN_11_Su,481,0.28,3.3,5.7
BEAR_DoN_12_Sp,541,0.17,3,9.09
BEAR_DoN_12_Su,533,0,2.2,9.09
BEAR_DoN_13_Sp,517,0.06,1.7,7.8
BEAR_DoN_13_Su,566,0.42,2,7.8
BEAR_DoN_14_Sp,671,0,2.3,7.44
BEAR_DoN_14_Su,394,0.17,4.7,7.44
BEAR_DoN_15_Sp,587,0.06,3.3,7.11
BEAR_DoN_15_Su,573,0,5,7.11
BEAR_DoN_16_Sp,562,0,5,6.6
BEAR_DoN_16_Su,599,0,3,6.6
BEAR_Do_03_Su,452,0.4,5,2.79
BEAR_Do_04_Sp,487,0.37,2.2,2.79
BEAR_Do_05_Su,246,0.36,5,2.05
BEAR_Do_06_Sp,540,0,0.8,2.05
BEAR_Do_07_Sp,565,0.6,1,1.91
BEAR_Do_07_Su,543,0.63,2.7,1.91
BEAR_Do_09_Sp,582,0.61,1.5,3.9
BEAR_Do_09_Su,556,0.39,3.7,3.9
BEAR_Do_11_Sp,525,0.19,3.3,5.2
BEAR_Do_11_Su,391,0.64,1.2,5.2
BEAR_Do_12_Sp,543,0.64,2,6.48
BEAR_Do_12_Su,535,0.67,2.3,6.48
BEAR_Do_13_Sp,482,0.61,0.2,4.8
BEAR_Do_13_Su,573,0.63,1.3,4.8
BEAR_Do_15_Sp,590,0.55,4,6.47
BEAR_Do_15_Su,575,0.63,3.7,6.47
BEAR_Do_16_Sp,568,0.53,4,4.59
BEAR_Do_16_Su,597,0.41,1.3,4.59
CHAN_Up_04_Sp,401,0.51,0.5,3.61
CHAN_Up_04_Su,292,0.5,0,3.61
CHAN_Up_07_Sp,396,0.57,0,0.22
CHAN_Up_07_Su,321,0.56,0,0.22
CHAN_Up_09_Sp,391,0.56,0,0.06
CHAN_Up_09_Su,301,0.39,0,0.06
CHAN_Up_11_Sp,350,0.44,0.5,0.5
CHAN_Up_11_Su,289,0.63,0,0.5
CHAN_Up_12_Sp,365,0.62,0.5,0.9
CHAN_Up_12_Su,276,0.58,0.2,0.9
CHAN_Up_13_Sp,423,0.61,0,0.04
CHAN_Up_15_Sp,340,0.64,0,0.09
CHAN_Do_04_Sp,362,0.5,1.2,2.65
CHAN_Do_04_Su,266,0.11,0.2,2.65
CHAN_Do_07_Sp,405,0.57,1.5,0.09
CHAN_Do_07_Su,291,0.56,0.3,0.09
CHAN_Do_09_Sp,355,0.34,2,0.11
CHAN_Do_09_Su,304,0.41,1.8,0.11
CHAN_Do_11_Sp,351,0.5,1.3,0.8
CHAN_Do_11_Su,292,0.48,1.3,0.8
CHAN_Do_12_Sp,333,0.63,0.7,1.57
CHAN_Do_12_Su,273,0.63,1.3,1.57
CHAN_Do_13_Sp,423,0.64,0,0.81
CHAN_Do_14_Sp,332,0.7,0,0.81
CHAN_Do_15_Sp,340,0.5,0,0.06
CHAN_Do_15_Su,274,0.7,0,0.06
CHAN_Do_16_Sp,347,0.68,0.2,0.09
CHAN_Do_16_Su,301,0.59,0,0.09
CRBL_Up_03_Sp,240,0,2.7,9.26
CRBL_Up_03_Su,293,0,3,9.26
CRBL_Up_08_Sp,473,0,1.2,7.52
CRBL_Up_08_Su,169,0,5,7.52
CRBL_Up_10_Sp,142,0,5,6.76
CRBL_Up_10_Su,396,0,4.3,6.76
CRBL_Up_12_Sp,375,0,3.3,10.8
CRBL_Up_12_Su,264,0,5,10.8
CRBL_Up_16_Sp,294,0,4,7.65
CRBL_Up_16_Su,485,0,3,7.65
ENIL_Up_03_Su,462,0,3.3,0.06
ENIL_Up_04_Sp,334,0.34,0.2,0.06
ENIL_Up_05_Su,290,0.44,1.3,0.05
ENIL_Up_06_Sp,321,0.41,1.7,0.05
ENIL_Up_07_Sp,370,0.56,0,0.07
ENIL_Up_07_Su,299,0.56,0,0.07
ENIL_Up_09_Sp,361,0.58,0,0.04
ENIL_Up_09_Su,304,0.35,0,0.04
ENIL_Up_11_Sp,348,0.5,0.3,0.08
ENIL_Up_11_Su,311,0.53,1.7,0.08
ENIL_Up_12_Sp,332,0.4,0,0.13
ENIL_Up_12_Su,296,0.55,0,0.13
ENIL_Up_13_Sp,366,0.6,0,0.2
ENIL_Up_13_Su,317,0.7,0.2,0.2
ENIL_Up_15_Sp,357,0.61,0.2,0.27
ENIL_Up_15_Su,278,0.63,0,0.27
ENIL_Up_16_Sp,351,0.58,0.2,0.06
ENIL_Up_16_Su,332,0.53,0,0.06
ENIL_Do_03_Su,352,0.7,2.7,1.13
ENIL_Do_04_Sp,558,0.38,0,1.13
ENIL_Do_05_Su,424,0.49,3.3,7.86
ENIL_Do_06_Sp,344,0.62,0,7.86
ENIL_Do_07_Sp,370,0.55,0,1.14
ENIL_Do_07_Su,306,0.65,0,1.14
ENIL_Do_09_Sp,364,0.48,0.2,0.13
ENIL_Do_09_Su,314,0.58,0,0.13
ENIL_Do_11_Sp,349,0.65,0.2,0.13
ENIL_Do_11_Su,305,0.46,1,0.13
ENIL_Do_12_Sp,336,0.68,0,0.01
ENIL_Do_12_Su,307,0.66,0,0.01
ENIL_Do_13_Sp,369,0.56,0,0.01
ENIL_Do_13_Su,335,0.57,0,0.01
ENIL_Do_15_Sp,352,0.59,0,0.02
ENIL_Do_15_Su,280,0.59,0,0.02
ENIL_Do_16_Sp,352,0.59,0,0.13
ENIL_Do_16_Su,341,0.52,0,0.13
ENIL_DoN_05_Su,291,0.44,0,0.05
ENIL_DoN_06_Sp,329,0.49,0,0.05
ENIL_DoN_07_Sp,370,0.64,0,0.02
ENIL_DoN_07_Su,301,0.59,0,0.02
ENIL_DoN_09_Sp,362,0.48,0,0.07
ENIL_DoN_09_Su,307,0.59,0,0.07
ENIL_DoN_11_Sp,348,0.53,0,0.07
ENIL_DoN_11_Su,300,0.57,1,0.07
ENIL_DoN_12_Sp,331,0.45,0,0.01
ENIL_DoN_12_Su,293,0.4,0,0.01
ENIL_DoN_13_Sp,369,0.48,0,0.01
ENIL_DoN_13_Su,317,0.56,0.2,0.01
ENIL_DoN_15_Sp,352,0.49,0.2,0.01
ENIL_DoN_15_Su,279,0.58,0,0.01
ENIL_DoN_16_Sp,350,0.5,0,0.04
ENIL_DoN_16_Su,328,0.15,0,0.04
FOUR_Up_03_Su,377,0.48,0.2,0.18
FOUR_Up_04_Sp,394,0.45,1.7,0.18
FOUR_Up_07_Sp,361,0.6,0.3,0.19
FOUR_Up_07_Su,359,0.67,0.2,0.19
FOUR_Up_09_Sp,380,0.7,0,0.12
FOUR_Up_09_Su,383,0.71,0,0.12
FOUR_Up_11_Sp,380,0.65,0,0.12
FOUR_Up_11_Su,366,0.6,0,0.12
FOUR_Up_12_Sp,345,0.58,0,0.08
FOUR_Up_12_Su,376,0.63,0,0.08
FOUR_Up_13_Sp,380,0.68,0,0.04
FOUR_Up_13_Su,389,0.69,0.3,0.04
FOUR_Up_15_Sp,393,0.69,0.8,0.51
FOUR_Up_15_Su,372,0.74,0,0.51
FOUR_Up_16_Sp,369,0.56,0.2,0.33
FOUR_Up_16_Su,422,0.7,0,0.33
FOUR_Do_03_Su,341,0.63,0.2,0.11
FOUR_Do_04_Sp,414,0.56,0.3,0.11
FOUR_Do_07_Sp,390,0.65,0,0.5
FOUR_Do_07_Su,309,0.46,0,0.5
FOUR_Do_09_Sp,402,0.33,1,0.42
FOUR_Do_09_Su,390,0.64,1,0.42
FOUR_Do_11_Sp,391,0.56,1.3,1.3
FOUR_Do_11_Su,397,0.52,1.3,1.3
FOUR_Do_12_Sp,369,0.69,0.7,2.17
FOUR_Do_12_Su,392,0.67,0.3,2.17
FOUR_Do_13_Sp,372,0.74,0.2,0.58
FOUR_Do_13_Su,389,0.66,0.5,0.58
FOUR_Do_15_Sp,384,0.6,2,1.55
