;Sector;Station;Site;Year;coo;cond;granu;veg;mo;connect
BEARam03;BE;BEAR;Up;2003;3;416;0.19;4.3;7.01;0.357454502
BEARam05;BE;BEAR;Up;2005;5;384;0.53;4.7;0.16;0.634862874
BEARam07;BE;BEAR;Up;2007;7;457;0.52;5;4.81;0.466849787
BEARam09;BE;BEAR;Up;2009;9;370;0.1;5;3.4;0.392194245
BEARam11;BE;BEAR;Up;2011;11;437;0.35;4.3;6.1;0.424464559
BEARam12;BE;BEAR;Up;2012;12;386;0.11;5;8.71;0.274965126
BEARam13;BE;BEAR;Up;2013;13;419;0.18;4;9.2;0.322012024
BEARam15;BE;BEAR;Up;2015;15;369;0.17;4.7;5.61;0.390769015
BEARam16;BE;BEAR;Up;2016;16;544;0;4.3;7.15;0.18834919
BEARavn05;BE;BEAR;DoN;2005;5;494;0.5;2;1.5;0.660194014
BEARavn07;BE;BEAR;DoN;2007;7;561;0.06;3.3;4.13;0.315413086
BEARavn09;BE;BEAR;DoN;2009;9;581;0.09;5;2.26;0.261464694
BEARavn11;BE;BEAR;DoN;2011;11;503;0.23;3.3;5.7;0.391392725
BEARavn12;BE;BEAR;DoN;2012;12;537;0.09;3;9.09;0.257734588
BEARavn13;BE;BEAR;DoN;2013;13;542;0.24;2;7.8;0.39311224
BEARavn14;BE;BEAR;DoN;2014;14;533;0.09;4.7;7.44;0.204496748
BEARavn15;BE;BEAR;DoN;2015;15;580;0.03;5;7.11;0.138225893
BEARavn16;BE;BEAR;DoN;2016;16;581;0;5;6.6;0.136214087
BEARav03;BE;BEAR;Do;2003;3;470;0.39;5;2.79;0.448028517
BEARav05;BE;BEAR;Do;2005;5;393;0.18;5;2.05;0.435294996
BEARav07;BE;BEAR;Do;2007;7;554;0.62;2.7;1.91;0.61919435
BEARav09;BE;BEAR;Do;2009;9;569;0.5;3.7;3.9;0.466936846
BEARav11;BE;BEAR;Do;2011;11;458;0.42;3.3;5.2;0.508798176
BEARav12;BE;BEAR;Do;2012;12;539;0.66;2.3;6.48;0.572418854
BEARav13;BE;BEAR;Do;2013;13;528;0.62;1.3;4.8;0.6522564
BEARav15;BE;BEAR;Do;2015;15;583;0.59;4;6.47;0.423440944
BEARav16;BE;BEAR;Do;2016;16;583;0.47;4;4.59;0.414936207
CHANam04;BE;CHAN;Up;2004;4;347;0.51;0.5;3.61;0.804854189
CHANam07;BE;CHAN;Up;2007;7;359;0.57;0;0.22;0.916600861
CHANam09;BE;CHAN;Up;2009;9;346;0.48;0;0.06;0.893643807
CHANam11;BE;CHAN;Up;2011;11;320;0.54;0.5;0.5;0.900230204
CHANam12;BE;CHAN;Up;2012;12;321;0.6;0.5;0.9;0.914933651
CHANam13;BE;CHAN;Up;2013;13;423;0.61;0;0.04;0.890508626
CHANam15;BE;CHAN;Up;2015;15;340;0.64;0;0.09;0.960459924
CHANav04;BE;CHAN;Do;2004;4;314;0.31;1.2;2.65;0.732123001
CHANav07;BE;CHAN;Do;2007;7;348;0.57;1.5;0.09;0.847539025
CHANav09;BE;CHAN;Do;2009;9;330;0.38;2;0.11;0.758418768
CHANav11;BE;CHAN;Do;2011;11;322;0.49;1.3;0.8;0.830418591
CHANav12;BE;CHAN;Do;2012;12;303;0.63;1.3;1.57;0.88330452
CHANav13;BE;CHAN;Do;2013;13;423;0.64;0;0.81;0.886432789
CHANav14;BE;CHAN;Do;2014;14;332;0.7;0;0;0.991706356
CHANav15;BE;CHAN;Do;2015;15;307;0.6;0;0.06;0.968804286
CHANav16;BE;CHAN;Do;2016;16;324;0.64;0.2;0.09;0.961249179
CRBLam03;BR;CRBL;Up;2003;3;267;0;3;9.26;0.411082632
CRBLam08;BR;CRBL;Up;2008;8;321;0;5;7.52;0.302459552
CRBLam10;BR;CRBL;Up;2010;10;269;0;5;6.76;0.355224335
CRBLam12;BR;CRBL;Up;2012;12;320;0;5;10.8;0.235363355
CRBLam16;BR;CRBL;Up;2016;16;390;0;4;7.65;0.303663872
ENILam03;BE;ENIL;Up;2003;3;398;0.17;3.3;0.06;0.559123896
ENILam05;BE;ENIL;Up;2005;5;306;0.43;1.7;0.05;0.812415863
ENILam07;BE;ENIL;Up;2007;7;335;0.56;0;0.07;0.932855694
ENILam09;BE;ENIL;Up;2009;9;333;0.47;0;0.04;0.899372964
ENILam11;BE;ENIL;Up;2011;11;330;0.52;1.7;0.08;0.830222324
ENILam12;BE;ENIL;Up;2012;12;314;0.48;0;0.13;0.914998515
ENILam13;BE;ENIL;Up;2013;13;342;0.65;0.2;0.2;0.950096627
ENILam15;BE;ENIL;Up;2015;15;318;0.62;0.2;0.27;0.953908191
ENILam16;BE;ENIL;Up;2016;16;342;0.56;0.2;0.06;0.917462856
ENILav03;BE;ENIL;Do;2003;3;455;0.54;2.7;1.13;0.674282325
ENILav05;BE;ENIL;Do;2005;5;384;0.56;3.3;7.86;0.561802049
ENILav07;BE;ENIL;Do;2007;7;338;0.6;0;1.14;0.924387726
ENILav09;BE;ENIL;Do;2009;9;339;0.53;0.2;0.13;0.906310709
ENILav11;BE;ENIL;Do;2011;11;327;0.56;1;0.13;0.88425741
ENILav12;BE;ENIL;Do;2012;12;322;0.67;0;0.01;0.986782517
ENILav13;BE;ENIL;Do;2013;13;352;0.57;0;0.01;0.925930179
ENILav15;BE;ENIL;Do;2015;15;316;0.59;0;0.02;0.959270642
ENILav16;BE;ENIL;Do;2016;16;347;0.56;0;0.13;0.923064598
ENILavn05;BE;ENIL;DoN;2005;5;310;0.47;0;0.05;0.915555056
ENILavn07;BE;ENIL;DoN;2007;7;336;0.62;0;0.02;0.956862171
ENILavn09;BE;ENIL;DoN;2009;9;335;0.54;0;0.07;0.924960572
ENILavn11;BE;ENIL;DoN;2011;11;324;0.55;1;0.07;0.883687926
ENILavn12;BE;ENIL;DoN;2012;12;312;0.43;0;0.01;0.899166634
ENILavn13;BE;ENIL;DoN;2013;13;343;0.52;0.2;0.01;0.901993725
ENILavn15;BE;ENIL;DoN;2015;15;316;0.54;0.2;0.01;0.929127904
ENILavn16;BE;ENIL;DoN;2016;16;339;0.33;0;0.04;0.839831767
FOURam03;BE;FOUR;Up;2003;3;386;0.47;1.7;0.18;0.768513951
FOURam07;BE;FOUR;Up;2007;7;360;0.64;0.3;0.19;0.928223928
FOURam09;BE;FOUR;Up;2009;9;382;0.71;0;0.12;0.957545226
FOURam11;BE;FOUR;Up;2011;11;373;0.63;0;0.12;0.932377758
FOURam12;BE;FOUR;Up;2012;12;361;0.61;0;0.08;0.933860265
FOURam13;BE;FOUR;Up;2013;13;385;0.69;0.3;0.04;0.933248801
FOURam15;BE;FOUR;Up;2015;15;383;0.72;0.8;0.51;0.910270929
FOURam16;BE;FOUR;Up;2016;16;396;0.63;0.2;0.33;0.90103585
FOURav03;BE;FOUR;Do;2003;3;378;0.6;0.3;0.11;0.901261519
FOURav07;BE;FOUR;Do;2007;7;350;0.56;0;0.5;0.913277767
FOURav09;BE;FOUR;Do;2009;9;396;0.49;1;0.42;0.801462719
