	site	an	cond	sim	subm	mo
BEARUp04	BEARUp	4	403	0.21	4.5	7.01
BEARUp07	BEARUp	7	456	0.46	5	4.81
BEARUp09	BEARUp	9	374	0.17	5	3.4
BEARUp11	BEARUp	11	439	0.35	4.5	3.4
BEARUp12	BEARUp	12	386	0.1	5	8.71
BEARUp13	BEARUp	13	421	0.22	4.25	9.2
BEARUp15	BEARUp	15	363	0.15	4.75	5.61
BEARUp16	BEARUp	16	546	0	4.5	7.15
BEARDo04	BEARDo	4	467	0.41	5	2.79
BEARDo07	BEARDo	7	555	0.62	2.125	1.91
BEARDo09	BEARDo	9	571	0.5	3.5	4
BEARDo11	BEARDo	11	461	0.4	2.5	4
BEARDo12	BEARDo	12	536	0.64	2	6.48
BEARDo13	BEARDo	13	527	0.57	1.5	4.8
BEARDo15	BEARDo	15	582	0.61	3.75	6.47
BEARDo16	BEARDo	16	584	0.48	4	4.59
BEARDoN07	BEARDoN	7	560	0.06	3	4.13
BEARDoN09	BEARDoN	9	580	0.06	5	2.26
BEARDoN11	BEARDoN	11	508	0.17	3.75	2.26
BEARDoN12	BEARDoN	12	537	0.08	3	9.09
BEARDoN13	BEARDoN	13	539	0.2	2.25	7.8
BEARDoN14	BEARDoN	14	526	0.06	4.5	7.44
BEARDoN15	BEARDoN	15	579	0.02	4.25	7.11
BEARDoN16	BEARDoN	16	581	0	5	6.59
CHANUp04	CHANUp	4	347	0.53	0.875	3.61
CHANUp07	CHANUp	7	359	0.51	0	0.22
CHANUp09	CHANUp	9	347	0.46	0.125	0.06
CHANUp11	CHANUp	11	320	0.57	0.375	0.06
CHANUp12	CHANUp	12	320	0.59	0.5	0.9
CHANUp13	CHANUp	13	423	0.6	0	0.04
CHANUp15	CHANUp	15	340	0.65	0	0.09
CHANDo04	CHANDo	4	314	0.34	1.125	2.65
CHANDo07	CHANDo	7	347	0.57	1.25	0.09
CHANDo09	CHANDo	9	330	0.43	1.5	0.11
CHANDo11	CHANDo	11	322	0.51	1.25	0.11
CHANDo12	CHANDo	12	303	0.63	2	1.57
CHANDo13	CHANDo	13	423	0.64	0	0.81
CHANDo14	CHANDo	14	332	0.7	0	0.3
CHANDo15	CHANDo	15	307	0.62	0	0.06
CHANDo16	CHANDo	16	324	0.64	0.25	0.09
ENILUp04	ENILUp	4	399	0.21	3.75	0.06
ENILUp07	ENILUp	7	334	0.49	0	0.07
ENILUp09	ENILUp	9	333	0.48	0	0.04
ENILUp11	ENILUp	11	329	0.53	2	0.04
ENILUp12	ENILUp	12	314	0.47	0	0.13
ENILUp13	ENILUp	13	342	0.67	0.125	0.01
ENILUp15	ENILUp	15	317	0.61	0.125	0.27
ENILUp16	ENILUp	16	342	0.55	0.125	0.06
ENILDo04	ENILDo	4	457	0.51	3	1.13
ENILDo07	ENILDo	7	338	0.6	0	1.14
ENILDo09	ENILDo	9	339	0.53	0.125	0.13
ENILDo11	ENILDo	11	327	0.55	0.875	0.13
ENILDo12	ENILDo	12	321	0.67	0	0.13
ENILDo13	ENILDo	13	333	0.59	0	0.01
ENILDo15	ENILDo	15	316	0.58	0.25	0.02
ENILDo16	ENILDo	16	346	0.55	0	0.13
ENILDoN07	ENILDoN	7	336	0.61	0	0.05
ENILDoN09	ENILDoN	9	334	0.52	0	0.07
ENILDoN11	ENILDoN	11	324	0.51	0.75	0.07
ENILDoN12	ENILDoN	12	306	0.44	0	0.04
ENILDoN13	ENILDoN	13	343	0.54	0.125	0.01
ENILDoN15	ENILDoN	15	316	0.52	0.25	0.01
ENILDoN16	ENILDoN	16	339	0.3	0.125	0.04
FOURUp04	FOURUp	4	384	0.45	1.5	0.18
FOURUp07	FOURUp	7	361	0.64	0.25	0.19
FOURUp09	FOURUp	9	381	0.7	0	0.12
FOURUp11	FOURUp	11	371	0.63	0	0.12
FOURUp12	FOURUp	12	362	0.62	0.25	0.08
FOURUp13	FOURUp	13	384	0.67	0.25	0.03
FOURUp15	FOURUp	15	384	0.71	0.75	0.51
FOURUp16	FOURUp	16	395	0.63	0.125	0.33
FOURDo04	FOURDo	4	383	0.58	0.375	0.11
FOURDo07	FOURDo	7	347	0.54	0.125	0.5
FOURDo09	FOURDo	9	397	0.52	0.75	0.42
FOURDo11	FOURDo	11	394	0.54	1.5	0.42
FOURDo12	FOURDo	12	381	0.68	0.625	2.17
FOURDo13	FOURDo	13	381	0.7	0.5	0.58
FOURDo15	FOURDo	15	402	0.52	2.25	1.55
FOURDo16	FOURDo	16	406	0.54	2.25	0.83
LUCEUp04	LUCEUp	4	254	0.52	0.5	4.2
LUCEUp07	LUCEUp	7	328	0.57	0.25	0.13
LUCEUp09	LUCEUp	9	342	0.55	0	0.005
LUCEUp11	LUCEUp	11	313	0.4	1	0.005
LUCEUp12	LUCEUp	12	305	0.44	0.125	0.02
LUCEUp13	LUCEUp	13	339	0.49	0	0.03
LUCEUp15	LUCEUp	15	304	0.55	0.5	0.01
LUCEUp16	LUCEUp	16	325	0.45	0	0.04
LUCEDo04	LUCEDo	4	263	0.51	0.25	1.2
LUCEDo07	LUCEDo	7	329	0.48	0.625	1.9
