Sector;Station;Site;Year;Season;Date_sample;Qc;Qcs;Lag;Qref;Cmaxy;Cmaxq;Cmax2m;Cmaxm;Cey;Ceq;Ce2m;Cem;Cny;Cnq;Cn2m;Cnm;Cfy;Cfq;Cf2m;Cfm;Cqy;Cqq;Cq2m;Cqm;Csmaxy;Csmaxq;Csmax2m;Csmaxm;Csey;Cseq;Cse2m;Csem;Csny;Csnq;Csn2m;Csnm;Csfy;Csfq;Csf2m;Csfm;Csqy;Csqq;Csq2m;Csqm
BE;BEAR;AM;2007;P;06.04.2007;982;322;2;BAL;0.25;0.25;0.25;0;0.25;0.25;0.25;0;1;1;1;0;0.5;1;1;0;6039.593;6039.593;6039.593;0;4.25;3.167;3.167;0;10.667;3.75;3.75;0;13;3;3;0;6.5;3;3;0;122767.698;48975.094;48975.094;0
BE;BEAR;AM;2007;E;20.07.2007;982;322;2;BAL;0.25;0.25;0;0;0.25;0.25;0;0;1;1;0;0;0.5;1;0;0;6039.593;6039.593;0;0;4.25;3.167;2.25;2.25;13.083;8.25;4.5;4.25;13;7;4;3;6.5;7;4;3;156231.774;105778.025;56802.931;54556.788
BE;BEAR;AM;2009;P;06.04.2009;982;322;2;BAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.083;1.458;0;0;5.25;3.167;0;0;6;5;0;0;3;2.5;0;0;68574;40564;0;0
BE;BEAR;AM;2009;E;22.07.2009;982;322;2;BAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.458;1.458;0;0;3.167;3.167;0;0;5;5;0;0;2.5;2.5;0;0;40564;40564;0;0
BE;BEAR;AM;2011;P;29.03.2011;982;322;2;BAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.958;2.958;0;0;4.333;3.083;0;0;4;3;0;0;2;1.5;0;0;48714;36032;0;0
BE;BEAR;AM;2011;E;18.07.2011;982;322;2;BAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.958;2.958;0;0;3.083;3.083;0;0;3;3;0;0;1.5;1.5;0;0;36032;36032;0;0
BE;BEAR;AM;2012;P;20.03.2012;982;322;2;BAL;0.917;0.917;0;0;1;1;0;0;2;2;0;0;1;1;0;0;25168.443;25168.443;0;0;9.875;9.875;4.75;0.667;67.333;62.708;22;4.708;64;60;30;11;32;30;30;11;814240.8927;769244.0797;231978.337;44680.277
BE;BEAR;AM;2012;E;28.06.2012;982;322;2;BAL;0.917;0.917;0;0;1;1;0;0;2;2;0;0;1;1;0;0;25168.443;25168.443;0;0;9.875;9.875;0.208;0.167;70;65.375;0.542;0.333;73;69;3;2;36.5;34.5;3;2;837451.2627;792454.4497;4879.721;2913.794
BE;BEAR;AM;2013;P;19.03.2013;982;322;2;BAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.167;14.167;5.25;0;35.875;32.958;6.458;0;28;18;3;0;14;9;3;0;398373.228;373076.282;66614.6;0
BE;BEAR;AM;2013;E;24.06.2013;982;322;2;BAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.167;14.167;0.833;0;35.292;35.042;0.875;0;24;23;2;0;12;11.5;2;0;392377.958;390291.382;7421.2;0
BE;BEAR;AM;2015;P;24.03.2015;982;322;2;BAL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
BE;BEAR;AM;2015;E;08.07.2015;982;322;2;BAL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
