Sector;Station;Site;Year;Season;ID;Date_sample;Qc;Qcs;Lag;Shear_stress;Qref;Regime;Oey;Oe10m;Oe8m;Oe6m;Oe4m;Oe2m;Oem;Ony;On10m;On8m;On6m;On4m;On2m;Onm;Ofy;Of10m;Of8m;Of6m;Of4m;Of2m;Ofm;Bey;Be10m;Be8m;Be6m;Be4m;Be2m;Bem;Bny;Bn10m;Bn8m;Bn6m;Bn4m;Bn2m;Bnm;Bfy;Bf10m;Bf8m;Bf6m;Bf4m;Bf2m;Bfm;Ley;Le10m;Le8m;Le6m;Le4m;Le2m;Lem
BE;BEAR;Up;2007;P;BEAR_Up_07_P;06.04.2007;982;322;2;1.73;BAL;Semi-natural;0.25;0.25;0.25;0.25;0.25;0.25;0;1;1;1;1;1;1;0;0.001;0.001;0.001;0.001;0.002;0.004;0;10.417;8.333;8.333;3.75;3.5;3.5;0;14;10;10;7;4;4;0;0.029;0.028;0.035;0.021;0.029;0.058;0;354.375;291.417;231.417;176;116.25;56.208;30
BE;BEAR;Up;2007;E;BEAR_Up_07_E;20.07.2007;982;322;2;1.73;BAL;Semi-natural;0.25;0.25;0.25;0.25;0.25;0;0;1;1;1;1;0;0;0;0.001;0.001;0.001;0.001;0.002;0;0;12.833;8.583;8.083;8;4.5;4.5;4.25;14;13;9;8;4;4;3;0.035;0.029;0.034;0.044;0.038;0.075;0.142;351.875;291.167;231.667;171.75;115.25;55.5;25.75
BE;BEAR;Up;2009;P;BEAR_Up_09_P;06.04.2009;982;322;2;1.73;BAL;Semi-natural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.25;3.167;3.167;0.333;0.333;0;0;6;5;5;1;1;0;0;0.014;0.011;0.013;0.002;0.003;0;0;359.75;296.833;236.833;179.667;119.667;60;30
BE;BEAR;Up;2009;E;BEAR_Up_09_E;22.07.2009;982;322;2;1.73;BAL;Semi-natural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.167;0.333;0.333;0.333;0;0;0;5;1;1;1;0;0;0;0.009;0.001;0.001;0.002;0;0;0;361.792;299.667;239.667;179.667;120;60;30
BE;BEAR;Up;2011;P;BEAR_Up_11_P;29.03.2011;982;322;2;1.73;BAL;Semi-natural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.333;3.083;3.083;3.083;2.958;0;0;4;3;3;3;1;0;0;0.012;0.01;0.013;0.017;0.025;0;0;360.833;296.917;236.917;176.917;117.042;60;30
BE;BEAR;Up;2011;E;BEAR_Up_11_E;18.07.2011;982;322;2;1.73;BAL;Semi-natural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.083;3.083;2.958;0;0;0;0;3;3;1;0;0;0;0;0.008;0.01;0.012;0;0;0;0;361.958;296.917;237.042;180;120;60;30
BE;BEAR;Up;2012;P;BEAR_Up_12_P;20.03.2012;982;322;2;1.73;BAL;Semi-natural;1;1;1;1;1;0;0;2;2;2;2;2;0;0;0.003;0.003;0.004;0.006;0.008;0;0;66.417;66.417;62.167;61.792;56.583;22;4.708;65;65;63;61;52;30;11;0.182;0.221;0.259;0.343;0.472;0.367;0.157;298.5;232.583;176.833;117.208;62.417;38.542;25.292
BE;BEAR;Up;2012;E;BEAR_Up_12_E;28.06.2012;982;322;2;1.73;BAL;Semi-natural;1;0;0;0;0;0;0;2;2;2;1;0;0;0;0.003;0;0;0;0;0;0;69.083;64.458;59.25;40.708;4.917;0.542;0.333;74;70;61;48;15;3;2;0.189;0.215;0.247;0.226;0.041;0.009;0.011;295.917;235.542;180.75;139.292;115.083;59.458;29.667
BE;BEAR;Up;2013;P;BEAR_Up_13_P;19.03.2013;982;322;2;1.73;BAL;Semi-natural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.875;33.542;32.958;32.958;26.333;6.458;0;28;21;18;18;10;3;0;0.098;0.112;0.137;0.183;0.219;0.108;0;329.417;266.458;207.042;147.042;93.667;53.542;30
BE;BEAR;Up;2013;E;BEAR_Up_13_E;24.06.2013;982;322;2;1.73;BAL;Semi-natural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.292;35.042;33.292;12.5;2.083;0.875;0;24;23;18;11;5;2;0;0.097;0.117;0.139;0.069;0.017;0.015;0;329.958;264.958;206.708;167.5;117.917;59.125;30
BE;BEAR;Up;2015;P;BEAR_Up_15_P;24.03.2015;982;322;2;1.73;BAL;Semi-natural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.875;0;0;0;0;0;0;1;0;0;0;0;0;0;0.002;0;0;0;0;0;0;329.958;300;240;180;120;59.125;30
