code	statyear	channel	station	quadrat	year	season	chanstat	chanyear	date2	date	work	connect	flow_a	yearseason	workstat	trueyear	falseyear
BEARUp03Su	BEARUp03	BEAR	Up	1	2003	Su	BEARUp	BEAR2003	15.05.2003	15.11.2003	DF	1	no	2003Su	DFUp	2003	2003
BEARUp03Su	BEARUp03	BEAR	Up	2	2003	Su	BEARUp	BEAR2003	15.05.2003	15.11.2003	DF	1	no	2003Su	DFUp	2003	2003
BEARUp03Su	BEARUp03	BEAR	Up	3	2003	Su	BEARUp	BEAR2003	15.05.2003	15.11.2003	DF	1	no	2003Su	DFUp	2003	2003
BEARUp04Sp	BEARUp03	BEAR	Up	1	2003	Sp	BEARUp	BEAR2003	15.05.2004	15.11.2003	DF	1	no	2004Sp	DFUp	2003	2003
BEARUp04Sp	BEARUp03	BEAR	Up	3	2003	Sp	BEARUp	BEAR2003	15.05.2004	15.11.2003	DF	1	no	2004Sp	DFUp	2003	2003
BEARUp04Sp	BEARUp03	BEAR	Up	4	2003	Sp	BEARUp	BEAR2003	15.05.2004	15.11.2003	DF	1	no	2004Sp	DFUp	2003	2003
BEARUp07Sp	BEARUp07	BEAR	Up	1	2007	Sp	BEARUp	BEAR2007	15.05.2007	15.05.2007	DF	1	no	2007Sp	DFUp	2007	2007
BEARUp07Sp	BEARUp07	BEAR	Up	2	2007	Sp	BEARUp	BEAR2007	15.05.2007	15.05.2007	DF	1	no	2007Sp	DFUp	2007	2007
BEARUp07Sp	BEARUp07	BEAR	Up	3	2007	Sp	BEARUp	BEAR2007	15.05.2007	15.05.2007	DF	1	no	2007Sp	DFUp	2007	2007
BEARUp07Su	BEARUp07	BEAR	Up	2	2007	Su	BEARUp	BEAR2007	15.05.2007	15.05.2007	DF	1	no	2007Su	DFUp	2007	2007
BEARUp07Su	BEARUp07	BEAR	Up	3	2007	Su	BEARUp	BEAR2007	15.05.2007	15.05.2007	DF	1	no	2007Su	DFUp	2007	2007
BEARUp07Su	BEARUp07	BEAR	Up	4	2007	Su	BEARUp	BEAR2007	15.05.2007	15.05.2007	DF	1	no	2007Su	DFUp	2007	2007
BEARUp09Sp	BEARUp09	BEAR	Up	2	2009	Sp	BEARUp	BEAR2009	15.05.2009	15.05.2009	DF	1	no	2009Sp	DFUp	2009	2009
BEARUp09Sp	BEARUp09	BEAR	Up	3	2009	Sp	BEARUp	BEAR2009	15.05.2009	15.05.2009	DF	1	no	2009Sp	DFUp	2009	2009
BEARUp09Sp	BEARUp09	BEAR	Up	4	2009	Sp	BEARUp	BEAR2009	15.05.2009	15.05.2009	DF	1	no	2009Sp	DFUp	2009	2009
BEARUp09Su	BEARUp09	BEAR	Up	2	2009	Su	BEARUp	BEAR2009	15.05.2009	15.05.2009	DF	1	no	2009Su	DFUp	2009	2009
BEARUp09Su	BEARUp09	BEAR	Up	3	2009	Su	BEARUp	BEAR2009	15.05.2009	15.05.2009	DF	1	no	2009Su	DFUp	2009	2009
BEARUp09Su	BEARUp09	BEAR	Up	4	2009	Su	BEARUp	BEAR2009	15.05.2009	15.05.2009	DF	1	no	2009Su	DFUp	2009	2009
BEARUp11Sp	BEARUp11	BEAR	Up	1	2011	Sp	BEARUp	BEAR2011	15.05.2011	15.05.2011	DF	1	no	2011Sp	DFUp	2011	2011
BEARUp11Sp	BEARUp11	BEAR	Up	2	2011	Sp	BEARUp	BEAR2011	15.05.2011	15.05.2011	DF	1	no	2011Sp	DFUp	2011	2011
BEARUp11Sp	BEARUp11	BEAR	Up	3	2011	Sp	BEARUp	BEAR2011	15.05.2011	15.05.2011	DF	1	no	2011Sp	DFUp	2011	2011
BEARUp11Su	BEARUp11	BEAR	Up	1	2011	Su	BEARUp	BEAR2011	15.05.2011	15.05.2011	DF	1	no	2011Su	DFUp	2011	2011
BEARUp11Su	BEARUp11	BEAR	Up	2	2011	Su	BEARUp	BEAR2011	15.05.2011	15.05.2011	DF	1	no	2011Su	DFUp	2011	2011
BEARUp11Su	BEARUp11	BEAR	Up	3	2011	Su	BEARUp	BEAR2011	15.05.2011	15.05.2011	DF	1	no	2011Su	DFUp	2011	2011
BEARUp12Sp	BEARUp12	BEAR	Up	1	2012	Sp	BEARUp	BEAR2012	15.05.2012	15.05.2012	DF	1	no	2012Sp	DFUp	2012	2012
BEARUp12Sp	BEARUp12	BEAR	Up	3	2012	Sp	BEARUp	BEAR2012	15.05.2012	15.05.2012	DF	1	no	2012Sp	DFUp	2012	2012
BEARUp12Sp	BEARUp12	BEAR	Up	4	2012	Sp	BEARUp	BEAR2012	15.05.2012	15.05.2012	DF	1	no	2012Sp	DFUp	2012	2012
BEARUp12Su	BEARUp12	BEAR	Up	1	2012	Su	BEARUp	BEAR2012	15.05.2012	15.05.2012	DF	1	no	2012Su	DFUp	2012	2012
BEARUp12Su	BEARUp12	BEAR	Up	2	2012	Su	BEARUp	BEAR2012	15.05.2012	15.05.2012	DF	1	no	2012Su	DFUp	2012	2012
BEARUp12Su	BEARUp12	BEAR	Up	4	2012	Su	BEARUp	BEAR2012	15.05.2012	15.05.2012	DF	1	no	2012Su	DFUp	2012	2012
BEARUp15Sp	BEARUp15	BEAR	Up	1	2015	Sp	BEARUp	BEAR2015	15.05.2015	15.05.2015	DF	1	no	2015Sp	DFUp	2015	2015
BEARUp15Sp	BEARUp15	BEAR	Up	3	2015	Sp	BEARUp	BEAR2015	15.05.2015	15.05.2015	DF	1	no	2015Sp	DFUp	2015	2015
BEARUp15Sp	BEARUp15	BEAR	Up	4	2015	Sp	BEARUp	BEAR2015	15.05.2015	15.05.2015	DF	1	no	2015Sp	DFUp	2015	2015
BEARUp15Su	BEARUp15	BEAR	Up	1	2015	Su	BEARUp	BEAR2015	15.05.2015	15.05.2015	DF	1	no	2015Su	DFUp	2015	2015
BEARUp15Su	BEARUp15	BEAR	Up	2	2015	Su	BEARUp	BEAR2015	15.05.2015	15.05.2015	DF	1	no	2015Su	DFUp	2015	2015
BEARUp15Su	BEARUp15	BEAR	Up	4	2015	Su	BEARUp	BEAR2015	15.05.2015	15.05.2015	DF	1	no	2015Su	DFUp	2015	2015
BEARDoN07Sp	BEARDoN07	BEAR	DoN	1	2007	Sp	BEARDoN	BEAR2007	15.05.2007	15.05.2007	DF	DF2007Sp	inter	2007Sp	DFDoN	2007	2007
BEARDoN07Sp	BEARDoN07	BEAR	DoN	2	2007	Sp	BEARDoN	BEAR2007	15.05.2007	15.05.2007	DF	DF2007Sp	inter	2007Sp	DFDoN	2007	2007
BEARDoN07Sp	BEARDoN07	BEAR	DoN	3	2007	Sp	BEARDoN	BEAR2007	15.05.2007	15.05.2007	DF	DF2007Sp	inter	2007Sp	DFDoN	2007	2007
BEARDoN07Su	BEARDoN07	BEAR	DoN	1	2007	Su	BEARDoN	BEAR2007	15.05.2007	15.05.2007	DF	DF2007Su	inter	2007Su	DFDoN	2007	2007
BEARDoN07Su	BEARDoN07	BEAR	DoN	2	2007	Su	BEARDoN	BEAR2007	15.05.2007	15.05.2007	DF	DF2007Su	inter	2007Su	DFDoN	2007	2007
BEARDoN07Su	BEARDoN07	BEAR	DoN	4	2007	Su	BEARDoN	BEAR2007	15.05.2007	15.05.2007	DF	DF2007Su	inter	2007Su	DFDoN	2007	2007
BEARDoN09Sp	BEARDoN09	BEAR	DoN	2	2009	Sp	BEARDoN	BEAR2009	15.05.2009	15.05.2009	DF	DF2009Sp	inter	2009Sp	DFDoN	2009	2009
BEARDoN09Sp	BEARDoN09	BEAR	DoN	3	2009	Sp	BEARDoN	BEAR2009	15.05.2009	15.05.2009	DF	DF2009Sp	inter	2009Sp	DFDoN	2009	2009
BEARDoN09Sp	BEARDoN09	BEAR	DoN	4	2009	Sp	BEARDoN	BEAR2009	15.05.2009	15.05.2009	DF	DF2009Sp	inter	2009Sp	DFDoN	2009	2009
BEARDoN09Su	BEARDoN09	BEAR	DoN	1	2009	Su	BEARDoN	BEAR2009	15.05.2009	15.05.2009	DF	DF2009Su	inter	2009Su	DFDoN	2009	2009
BEARDoN09Su	BEARDoN09	BEAR	DoN	2	2009	Su	BEARDoN	BEAR2009	15.05.2009	15.05.2009	DF	DF2009Su	inter	2009Su	DFDoN	2009	2009
BEARDoN09Su	BEARDoN09	BEAR	DoN	4	2009	Su	BEARDoN	BEAR2009	15.05.2009	15.05.2009	DF	DF2009Su	inter	2009Su	DFDoN	2009	2009
BEARDoN11Sp	BEARDoN11	BEAR	DoN	1	2011	Sp	BEARDoN	BEAR2011	15.05.2011	15.05.2011	DF	DF2011Sp	inter	2011Sp	DFDoN	2011	2011
BEARDoN11Sp	BEARDoN11	BEAR	DoN	2	2011	Sp	BEARDoN	BEAR2011	15.05.2011	15.05.2011	DF	DF2011Sp	inter	2011Sp	DFDoN	2011	2011
BEARDoN11Sp	BEARDoN11	BEAR	DoN	3	2011	Sp	BEARDoN	BEAR2011	15.05.2011	15.05.2011	DF	DF2011Sp	inter	2011Sp	DFDoN	2011	2011
BEARDoN11Su	BEARDoN11	BEAR	DoN	1	2011	Su	BEARDoN	BEAR2011	15.05.2011	15.05.2011	DF	DF2011Su	inter	2011Su	DFDoN	2011	2011
BEARDoN11Su	BEARDoN11	BEAR	DoN	2	2011	Su	BEARDoN	BEAR2011	15.05.2011	15.05.2011	DF	DF2011Su	inter	2011Su	DFDoN	2011	2011
BEARDoN11Su	BEARDoN11	BEAR	DoN	3	2011	Su	BEARDoN	BEAR2011	15.05.2011	15.05.2011	DF	DF2011Su	inter	2011Su	DFDoN	2011	2011
BEARDoN12Sp	BEARDoN12	BEAR	DoN	1	2012	Sp	BEARDoN	BEAR2012	15.05.2012	15.05.2012	DF	DF2012Sp	inter	2012Sp	DFDoN	2012	2012
BEARDoN12Sp	BEARDoN12	BEAR	DoN	3	2012	Sp	BEARDoN	BEAR2012	15.05.2012	15.05.2012	DF	DF2012Sp	inter	2012Sp	DFDoN	2012	2012
BEARDoN12Sp	BEARDoN12	BEAR	DoN	4	2012	Sp	BEARDoN	BEAR2012	15.05.2012	15.05.2012	DF	DF2012Sp	inter	2012Sp	DFDoN	2012	2012
BEARDoN12Su	BEARDoN12	BEAR	DoN	1	2012	Su	BEARDoN	BEAR2012	15.05.2012	15.05.2012	DF	DF2012Su	inter	2012Su	DFDoN	2012	2012
BEARDoN12Su	BEARDoN12	BEAR	DoN	2	2012	Su	BEARDoN	BEAR2012	15.05.2012	15.05.2012	DF	DF2012Su	inter	2012Su	DFDoN	2012	2012
BEARDoN12Su	BEARDoN12	BEAR	DoN	3	2012	Su	BEARDoN	BEAR2012	15.05.2012	15.05.2012	DF	DF2012Su	inter	2012Su	DFDoN	2012	2012
BEARDoN15Sp	BEARDoN15	BEAR	DoN	1	2015	Sp	BEARDoN	BEAR2015	15.05.2015	15.05.2015	DF	DF2015Sp	inter	2015Sp	DFDoN	2015	2015
BEARDoN15Sp	BEARDoN15	BEAR	DoN	2	2015	Sp	BEARDoN	BEAR2015	15.05.2015	15.05.2015	DF	DF2015Sp	inter	2015Sp	DFDoN	2015	2015
BEARDoN15Sp	BEARDoN15	BEAR	DoN	4	2015	Sp	BEARDoN	BEAR2015	15.05.2015	15.05.2015	DF	DF2015Sp	inter	2015Sp	DFDoN	2015	2015
BEARDoN15Su	BEARDoN15	BEAR	DoN	1	2015	Su	BEARDoN	BEAR2015	15.05.2015	15.05.2015	DF	DF2015Su	inter	2015Su	DFDoN	2015	2015
BEARDoN15Su	BEARDoN15	BEAR	DoN	2	2015	Su	BEARDoN	BEAR2015	15.05.2015	15.05.2015	DF	DF2015Su	inter	2015Su	DFDoN	2015	2015
BEARDoN15Su	BEARDoN15	BEAR	DoN	3	2015	Su	BEARDoN	BEAR2015	15.05.2015	15.05.2015	DF	DF2015Su	inter	2015Su	DFDoN	2015	2015
BEARDo03Su	BEARDo03	BEAR	Do	1	2003	Su	BEARDo	BEAR2003	15.05.2003	15.11.2003	F	6	inter	2003Su	FDo	2003	2003
BEARDo03Su	BEARDo03	BEAR	Do	2	2003	Su	BEARDo	BEAR2003	15.05.2003	15.11.2003	F	6	inter	2003Su	FDo	2003	2003
BEARDo03Su	BEARDo03	BEAR	Do	3	2003	Su	BEARDo	BEAR2003	15.05.2003	15.11.2003	F	6	inter	2003Su	FDo	2003	2003
BEARDo04Sp	BEARDo03	BEAR	Do	1	2003	Sp	BEARDo	BEAR2003	15.05.2004	15.11.2003	F	6	inter	2004Sp	FDo	2003	2003
BEARDo04Sp	BEARDo03	BEAR	Do	2	2003	Sp	BEARDo	BEAR2003	15.05.2004	15.11.2003	F	6	inter	2004Sp	FDo	2003	2003
BEARDo04Sp	BEARDo03	BEAR	Do	4	2003	Sp	BEARDo	BEAR2003	15.05.2004	15.11.2003	F	6	inter	2004Sp	FDo	2003	2003
BEARDo07Sp	BEARDo07	BEAR	Do	1	2007	Sp	BEARDo	BEAR2007	15.05.2007	15.05.2007	F	6	inter	2007Sp	FDo	2007	2007
BEARDo07Sp	BEARDo07	BEAR	Do	2	2007	Sp	BEARDo	BEAR2007	15.05.2007	15.05.2007	F	6	inter	2007Sp	FDo	2007	2007
BEARDo07Sp	BEARDo07	BEAR	Do	3	2007	Sp	BEARDo	BEAR2007	15.05.2007	15.05.2007	F	6	inter	2007Sp	FDo	2007	2007
BEARDo07Su	BEARDo07	BEAR	Do	1	2007	Su	BEARDo	BEAR2007	15.05.2007	15.05.2007	F	6	inter	2007Su	FDo	2007	2007
BEARDo07Su	BEARDo07	BEAR	Do	2	2007	Su	BEARDo	BEAR2007	15.05.2007	15.05.2007	F	6	inter	2007Su	FDo	2007	2007
BEARDo07Su	BEARDo07	BEAR	Do	4	2007	Su	BEARDo	BEAR2007	15.05.2007	15.05.2007	F	6	inter	2007Su	FDo	2007	2007
