Id	null	slow	med	fast	x	o	b	a	p	s1	s2	s3	s4	s5	s6	s7	sws	swd	bub	spw	ses	othl	gra	min	xyl	shr	gat	aff	pff	pre	par	othf	teg	gil	pls	spi	ves	aqpa	aqac	aepa	aeac	l1y	e1y	m1y	ly	my	ovo	fie	cie	fic	frc	vec	tec	ase	egg	coc	hou	did	non
1	3	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	3.3	1.7	5	0	0	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	3
2	1	2	3	1	1	2	3	2	0	0	0	0	2	2	0	0	0	5	0	5	0	0	1	0	0	6.5	2	0	0	0.5	0	0	0	3	0	0	0	3	2	0	0	0	0	3	1	3	3	0	0	0	0	0	0	0	0	0	0	0	3
3	1	2	3	1	1	2	3	2	0	0	0	0	2	2	0	0	0	10	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	3	0	0	0	3	2	0	0	0	0	3	1	3	3	0	0	0	0	0	0	0	0	0	0	0	3
4	1	3	2	0	0	1	3	1	0	0	0	0	0	3	0	0	0	5	1.7	3.3	0	0	1	0	0	2	2	0	0	3	0	2	0	3	0	0	0	2	2	0	0	0	0	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	3
5	3	3	0	0	0	0	0	1	2	0	0	0	0	1	3	0	0	1.7	6.7	1.7	0	0	0	0	0	0	0	10	0	0	0	0	1	3	0	0	0	3	1	0	0	0	2	2	0	3	3	1	0	0	0	0	0	0	0	0	1	0	3
6	3	3	0	0	0	1	3	1	0	0	0	0	0	3	1	0	1	0	0	0	9	0	0	0	0	0	0	10	0	0	0	0	1	3	0	0	0	3	1	0	0	0	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	3
7	2	2	0	0	0	1	2	3	0	0	0	3	0	0	0	0	0	0	3	4	3	0	0	0	0	0	0	10	0	0	0	0	1	3	0	0	0	2	1	1	0	0	3	3	1	3	3	0	0	0	0	0	0	0	0	0	0	1	0
8	2	2	1	0	0	3	2	1	0	0	3	2	1	0	0	0	0	0	2	3	5	0	0	0	0	0	0	10	0	0	0	0	1	3	0	0	0	3	1	1	0	0	3	3	2	3	3	0	0	0	0	0	0	0	1	0	0	1	0
9	3	2	1	0	0	1	3	2	0	0	0	0	3	1	0	0	0	0	10	0	0	0	0	0	0	0	0	10	0	0	0	0	1	3	0	0	0	3	1	1	0	0	3	3	1	3	3	0	0	0	0	0	0	0	0	0	0	1	0
10	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4.3	1.4	4.3	0	0	0	0	10	0	0	0	0	0	0	1	0	1	3	0	0	0	0	3	0	3	0	1	3	0	0	0	3	0	1	0	0	0	3	0	0	0
11	3	3	0	0	0	1	5	4	0	1	3	2	0	0	0	0	0	3.3	0	5	0	1.7	0	0	0	10	0	0	0	0	0	0	0	0	3	1	0	0	1	1	2	0	3	1	1	3	0	0	2	2	0	1	0	0	0	0	0	0	3
