Id	Id2	Order	Family	Genus	Species	Invasif	EPT
X1	x1	Amphipoda	Crangonyctidae	Crangonyx	pseudogracilis	1	0
X2	x2	Amphipoda	Gammaridae	Gammarus	pulex/fossarum	0	0
X3	x3	Amphipoda	Gammaridae	Gammarus	tigrinus	1	0
X4	x4	Amphipoda	Pontogammaridae	Dikerogammarus	villosus	1	0
X5	x5	Bivalvia	Corbiculidae	Corbicula	fluminea	1	0
X6	x6	Bivalvia	Dreissenidae	Dreissena	polymorpha	1	0
X7	x7	Bivalvia	Sphaeriidae	Musculium	lacustre	0	0
X8	x8	Bivalvia	Sphaeriidae	Pisidium	sp.	0	0
X9	x9	Bivalvia	Sphaeriidae	Sphaerium	sp.	0	0
X10	x10	Coleoptera	Chrysomelidae	Gen.	sp. Lv.	0	0
X11	x11	Coleoptera	Curculionidae	Gen.	sp. Ad.	0	0
X12	x12	Coleoptera	Dryopidae	Dryops	sp. Ad.	0	0
X13	x13	Coleoptera	Dryopidae	Dryops	sp. Lv.	0	0
X14	x14	Coleoptera	Dryopidae	Pomatinus	substriatus Ad.	0	0
X15	x15	Coleoptera	Dytiscidae	Agabus	sp. Lv.	0	0
X16	x16	Coleoptera	Dytiscidae	Agabus	sturmii Ad.	0	0
X17	x17	Coleoptera	Dytiscidae	Bidessus	minutissimus Ad.	0	0
X18	x18	Coleoptera	Dytiscidae	Hygrotus	sp. Lv.	0	0
X19	x19	Coleoptera	Dytiscidae	Dytiscus	sp. Lv.	0	0
X20	x20	Coleoptera	Dytiscidae	Graptodytes	granularis Ad.	0	0
X21	x21	Coleoptera	Dytiscidae	Graptodytes	pictus Ad.	0	0
X22	x22	Coleoptera	Dytiscidae	Hydaticus	transversalis Ad.	0	0
X23	x23	Coleoptera	Dytiscidae	Hydroglyphus	geminus Ad.	0	0
X24	x24	Coleoptera	Dytiscidae	Hydroporus	angustatus Ad.	0	0
X25	x25	Coleoptera	Dytiscidae	Hydroporus	palustris Ad.	0	0
X26	x26	Coleoptera	Dytiscidae	Hydroporus	sp. Lv.	0	0
X27	x27	Coleoptera	Dytiscidae	Hydroporus	tristis Ad.	0	0
X28	x28	Coleoptera	Dytiscidae	Hygrotus	inaequalis Ad.	0	0
X29	x29	Coleoptera	Dytiscidae	Hyphydrus	ovatus Ad.	0	0
X30	x30	Coleoptera	Dytiscidae	Hyphydrus	ovatus Lv.	0	0
X31	x31	Coleoptera	Dytiscidae	Ilybius	ater Ad.	0	0
X32	x32	Coleoptera	Dytiscidae	Ilybius	fuliginosus Ad.	0	0
X33	x33	Coleoptera	Dytiscidae	Ilybius	quadriguttatus Ad.	0	0
X34	x34	Coleoptera	Dytiscidae	Ilybius	sp. Lv.	0	0
X35	x35	Coleoptera	Dytiscidae	Ilybius	fenestratus Ad.	0	0
X36	x36	Coleoptera	Dytiscidae	Laccophilus	hyalinus Ad.	0	0
X37	x37	Coleoptera	Dytiscidae	Laccophilus	minutus Ad.	0	0
X38	x38	Coleoptera	Dytiscidae	Laccophilus	poecilus Ad.	0	0
X39	x39	Coleoptera	Dytiscidae	Laccophilus	sp. Lv.	0	0
X40	x40	Coleoptera	Dytiscidae	Nebrioporus	elegans Ad.	0	0
X41	x41	Coleoptera	Dytiscidae	Nebrioporus	sp. Lv.	0	0
X42	x42	Coleoptera	Dytiscidae	Oreodytes	septentrionalis Ad.	0	0
X43	x43	Coleoptera	Dytiscidae	Platambus	maculatus Ad.	0	0
X44	x44	Coleoptera	Dytiscidae	Platambus	maculatus Lv.	0	0
X45	x45	Coleoptera	Dytiscidae	Stictonectes	sp. Lv.	0	0
X46	x46	Coleoptera	Dytiscidae	Stictotarsus	duodecimpustulatus Ad.	0	0
X47	x47	Coleoptera	Dytiscidae	Stictotarsus	duodecimpustulatus Lv.	0	0
X48	x48	Coleoptera	Dytiscidae	Yola	bicarinata Ad.	0	0
X49	x49	Coleoptera	Elmidae	Elmis	aenea Ad.	0	0
X50	x50	Coleoptera	Elmidae	Elmis	sp. Lv.	0	0
X51	x51	Coleoptera	Elmidae	Esolus	parallelepipedus Ad.	0	0
X52	x52	Coleoptera	Elmidae	Esolus	sp. Lv.	0	0
X53	x53	Coleoptera	Elmidae	Limnius	perrisi Ad.	0	0
X54	x54	Coleoptera	Elmidae	Limnius	sp. Lv.	0	0
X55	x55	Coleoptera	Elmidae	Limnius	volckmari Ad.	0	0
X56	x56	Coleoptera	Elmidae	Oulimnius	major Ad.	0	0
X57	x57	Coleoptera	Elmidae	Oulimnius	sp. Lv.	0	0
X58	x58	Coleoptera	Elmidae	Oulimnius	tuberculatus Ad.	0	0
X59	x59	Coleoptera	Elmidae	Riolus	sp. Lv.	0	0
X60	x60	Coleoptera	Gyrinidae	Gyrinus	natator Ad.	0	0
X61	x61	Coleoptera	Gyrinidae	Gyrinus	sp. Lv.	0	0
X62	x62	Coleoptera	Gyrinidae	Gyrinus	substriatus Ad.	0	0
X63	x63	Coleoptera	Gyrinidae	Orectochilus	sp. Ad.	0	0
X64	x64	Coleoptera	Gyrinidae	Orectochilus	sp. Lv.	0	0
X65	x65	Coleoptera	Haliplidae	Brychius	elevatus Ad.	0	0
X66	x66	Coleoptera	Haliplidae	Brychius	elevatus Lv.	0	0
X67	x67	Coleoptera	Haliplidae	Haliplus	confinis Ad.	0	0
X68	x68	Coleoptera	Haliplidae	Haliplus	flavicollis Ad.	0	0
X69	x69	Coleoptera	Haliplidae	Haliplus	fluviatilis Ad.	0	0
X70	x70	Coleoptera	Haliplidae	Haliplus	fulvus Lv.	0	0
X71	x71	Coleoptera	Haliplidae	Haliplus	heydeni Ad.	0	0
X72	x72	Coleoptera	Haliplidae	Haliplus	immaculatus Ad.	0	0
X73	x73	Coleoptera	Haliplidae	Haliplus	laminatus Ad.	0	0
X74	x74	Coleoptera	Haliplidae	Haliplus	lineatocollis Ad.	0	0
X75	x75	Coleoptera	Haliplidae	Haliplus	lineolatus Ad.	0	0
X76	x76	Coleoptera	Haliplidae	Haliplus	mucronatus Ad.	0	0
X77	x77	Coleoptera	Haliplidae	Haliplus	obliquus Ad.	0	0
X78	x78	Coleoptera	Haliplidae	Haliplus	ruficollis Ad.	0	0
X79	x79	Coleoptera	Haliplidae	Haliplus	fluviatilis/ruficolis/heydeni fem. Ad.	0	0
X80	x80	Coleoptera	Haliplidae	Haliplus	wehnckei Ad.	0	0
X81	x81	Coleoptera	Haliplidae	Haliplus	sp. Lv.	0	0
X82	x82	Coleoptera	Haliplidae	Peltodytes	caesus Ad.	0	0
X83	x83	Coleoptera	Haliplidae	Peltodytes	rotundatus Ad.	0	0
X84	x84	Coleoptera	Haliplidae	Peltodytes	sp. Lv.	0	0
X85	x85	Coleoptera	Hydraenidae	Hydraena	palustris Ad.	0	0
X86	x86	Coleoptera	Hydraenidae	Hydraena	riparia/assimilis Ad.	0	0
X87	x87	Coleoptera	Hydraenidae	Hydraena	testacea Ad.	0	0
X88	x88	Coleoptera	Hydraenidae	Ochthebius	sp. Ad.	0	0
X89	x89	Coleoptera	Hydrophilidae	Anacaena	bipustulata Ad.	0	0
X90	x90	Coleoptera	Hydrophilidae	Anacaena	limbata Ad.	0	0
X91	x91	Coleoptera	Hydrophilidae	Enochrus	coarctatus Ad.	0	0
X92	x92	Coleoptera	Hydrophilidae	Enochrus	sp. Lv.	0	0
X93	x93	Coleoptera	Hydrophilidae	Helochares	lividus Ad.	0	0
X94	x94	Coleoptera	Hydrophilidae	Helochares	obscurus Ad.	0	0
X95	x95	Coleoptera	Hydrophilidae	Helochares	punctatus Ad.	0	0
X96	x96	Coleoptera	Hydrophilidae	Helochares	sp. Lv.	0	0
X97	x97	Coleoptera	Hydrophilidae	Hydrobius	fuscipes Ad.	0	0
X98	x98	Coleoptera	Hydrophilidae	Hydrophilus	piceus Lv.	0	0
X99	x99	Coleoptera	Hydrophilidae	Laccobius	bipunctatus Ad.	0	0
X100	x100	Coleoptera	Hydrophilidae	Laccobius	minutus Ad.	0	0
X101	x101	Coleoptera	Hydrophilidae	Laccobius	sp. Lv.	0	0
X102	x102	Coleoptera	Hydrophilidae	Laccobius	striatulus Ad.	0	0
X103	x103	Coleoptera	Psephenidae	Eubria	palustris Lv.	0	0
